Common_Nm,Species,Class,Top 30 worst,Doublechecker,Notes (include refs where applicable),Reference in Appendix,Double check completed? ,Disease Agent (to remove),Domesticated (to set as diverse),Continents,Countries
Burmese python,Python bivittatus,Chordata,,Franck,Correct,NA,1,,,AS,Bangladesh;Bhutan;Cambodia;China;India;Laos;Myanmar (Burma);Nepal;Thailand;Vietnam;Indonesia
,Rattus spp.,Chordata,,Franck,"Emma updated to AS, OC",NA,1,,,AS;OC,
,Rhododendron ponticum,Tracheophyta,,Franck,Correct,NA,1,,,EUR;AS,Georgia;Lebanon;Turkey;Bulgaria;Portugal;Russia;Spain;Gibraltar
sweet brier,Rosa rubiginosa,Tracheophyta,,Franck,"EUR;Hura, T., Szewczyk-Taranek, B., Hura, K., Nowak, K., & Pawłowska, B. (2017). Physiological responses of Rosa rubiginosa to saline environment. Water, Air, & Soil Pollution, 228: 81.",YES,1,,,EUR,
Japanese rose,Rosa rugosa,Tracheophyta,,Franck,Correct,NA,1,,,AS,China;Japan;North Korea;South Korea;Russia
Armenian blackberry (Himalayan,Rubus armeniacus,Tracheophyta,,Franck,Correct,NA,1,,,AS,Armenia
Golden Glow,Rudbeckia laciniata,Tracheophyta,,Franck,Correct,NA,1,,,NAm,Canada;United States
Avocado thrips,Scirtothrips perseae,Arthropoda,,Franck,Nam only: native to central America; https://www.cabi.org/isc/datasheet/49072,Other Generic Databases,1,,,NAm,Mexico;Guatemala
Spartina,Sporobolus cynosuroides,Tracheophyta,,Franck,Correct,NA,1,,,NAm,United States
Giant rat’s tail grass,Sporobolus pyramidalis,Tracheophyta,,Franck,AF only; https://www.cabi.org/ISC/datasheet/23258738,Other Generic Databases,1,,,AF,Burkina Faso;Chad;Ethiopia;Kenya;Mali;Niger;Sudan;Tanzania;Benin;Cameroon;Gambia;Ghana;Guinea;Guinea-Bissau;Nigeria;Senegal;Togo;Uganda;Congo - Kinshasa;Gabon;Liberia;Mozambique;Namibia;South Africa;Zambia;Angola;Botswana;Burundi;Congo - Brazzaville;Malawi;Sierra Leone;Zimbabwe;Equatorial Guinea;Eswatini;Madagascar;Rwanda;Central African Republic
,Stipa caudata,Tracheophyta,,Franck,Correct,NA,1,,,SA,Argentina;Chile;Uruguay
Painted apple moth,Teia anartoides,Arthropoda,,Franck,OC only; https://www.cabi.org/isc/datasheet/107741,Other Generic Databases,1,,,OC,Australia
Little fire ant,Wasmannia auropunctata,Arthropoda,,Franck,SA and Nam; https://www.cabi.org/isc/datasheet/56704,Other Generic Databases,1,,,SA;NAm,Argentina;Bolivia;Brazil;Paraguay;Uruguay;Mexico;Puerto Rico;Costa Rica;Guatemala;Honduras;Nicaragua;Panama;Trinidad & Tobago;Colombia;French Guiana;Guyana;Peru;Suriname;Venezuela;Grenada;St. Vincent & Grenadines;Barbados;Cuba;Dominican Republic;Guadeloupe;Haiti;Jamaica;Martinique;St. Lucia;U.S. Virgin Islands
,Xanthium orientale,Tracheophyta,,Franck,Correct,NA,1,,,NAm,United States
,Xanthium spinosum,Tracheophyta,,Franck,SA: https://www.cabi.org/isc/datasheet/56863,Other Generic Databases,1,,,SA,Argentina;Bolivia;Brazil;Chile;Paraguay;Uruguay;Ecuador;Peru
Redbay ambrosia beetle,Xyleborus glabratus,Arthropoda,,Franck,Correct,NA,1,,,AS,Bangladesh;India;Japan;Myanmar (Burma);Taiwan
,Yucca gigantea,Tracheophyta,,Franck,Correct,NA,1,,,NAm,
Ladder snake,Zamenis scalaris,Chordata,,Franck,Correct,NA,1,,,EUR,
,Abutilon theophrasti,Tracheophyta,,Nigel,Should be AS only. CABI says introduced across NAm (https://www.cabi.org/isc/datasheet/1987). Ditto USDA (https://plants.usda.gov/core/profile?symbol=ABTH),Other Generic Databases,1,,,AS;NAm,China
Ailant,Ailanthus altissima,Tracheophyta,,Nigel,"Should be AS only (https://www.cabi.org/isc/datasheet/3889). Explicitly listed as introduced and invasive in Australia in CABI. Also ""Tree-of-heaven is native to Taiwan and central China occurring from 22o to 34o north in latitude (Howard 2004).; https://profiles.ala.org.au/opus/weeds-australia/) (Australia comes from GISD)",Other Generic Databases,1,,,AS;OC,China;Australia
Alligator weed,Alternanthera philoxeroides,Tracheophyta,,Nigel,Correct (CABI),Other Generic Databases,1,,,SA,Argentina;Bolivia;Brazil;Paraguay;Uruguay;Peru;Venezuela
Espumilla,Arctotheca calendula,Tracheophyta,,Nigel,Correct (CABI),Other Generic Databases,1,,,AF,South Africa;Lesotho
Mexican poppy,Argemone mexicana,Tracheophyta,,Nigel,"Correct (CABI) - although there is ""debate"" about the native range (countries more than continents) + species is native to some countries in each continent but introduced in other countries.",Other Generic Databases,1,,,SA;NAm,Paraguay;United States;Mexico;Puerto Rico;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Trinidad & Tobago;French Guiana;Guyana;Suriname;Grenada;Montserrat;Anguilla;Antigua & Barbuda;Barbados;British Virgin Islands;Dominican Republic;Guadeloupe;Haiti;Martinique;St. Kitts & Nevis;St. Lucia;U.S. Virgin Islands;Bahamas;Cayman Islands;Aruba;Cura√ßao;Caribbean Netherlands
Quitridi,Batrachochytrium dendrobatidis,Chytridiomycota,,Nigel,Correct (CABI),Other Generic Databases,1,1,,AF,South Africa
Swamp buffalo,Bubalus bubalis,Chordata,,Nigel,"Correct (CABI) but ""In most of the Asian range, plus a few other countries, it was introduced centuries or millennia ago"" so technically native, but not classified as such by CABI",Other Generic Databases,1,,,AS,China;India;Pakistan
Nopal moth,Cactoblastis cactorum,Arthropoda,,Nigel,Correct (CABI/GISD),Other Generic Databases,1,,,SA,Argentina;Brazil;Paraguay;Uruguay
beach casuarina,Casuarina equisetifolia,Magnoliopsida,,Nigel,Correct (CABI/GISD),Other Generic Databases,1,,,AS;OC,India;Japan;Myanmar (Burma);Sri Lanka;Thailand;Vietnam;Indonesia;Malaysia;Australia;Solomon Islands;Kiribati;Cook Islands;Guam;New Caledonia;French Polynesia;Philippines;Papua New Guinea;Brunei;Christmas Island;Fiji;Samoa;Cocos (Keeling) Islands;Nauru;Tonga;Vanuatu
Southern sandbur,Cenchrus echinatus,Tracheophyta,,Nigel,"Unclear (CABI/GISD). Native range = ""Tropical America"", so NAm probably correct (see also https://plants.usda.gov/core/profile?symbol=CEEC), but native range could also include SAm (see also https://www.invasiveplantatlas.org/subject.html?sub=5273)? Soloman Islands comes from GISD, but seems to trace back to a source that says ""cryptogenic"" - so I suggest we remove this country and OC. I cannot see where AS comes from.",Other Generic Databases,1,,,NAm,United States
Knapweeds -Spotted,Centaurea affinis,Tracheophyta,,Nigel,Correct (http://powo.science.kew.org/taxon/189813-1) - check where our limit of Europe is (e.g. does it include Turkey?),Other Generic Databases,1,,,EUR,Turkey;Albania;Bosnia & Herzegovina;Bulgaria;Greece;Romania
purple starthistle,Centaurea calcitrapa,Tracheophyta,,Nigel,Add Africa (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330052-2),Other Generic Databases,1,,,EUR;AS; AF,Afghanistan;Armenia;Azerbaijan;China;Georgia;India;Iran;Iraq;Israel;Jordan;Kazakhstan;Kyrgyzstan;Lebanon;Pakistan;Syria;Tajikistan;Turkey;Turkmenistan;Uzbekistan;Bulgaria;Greece;Romania;Ukraine;Cyprus
悬铃木方翅网蝽,Corythucha ciliata,Arthropoda,,Nigel,Correct (CABI),Other Generic Databases,1,,,NAm,Canada;United States
,Cylindropuntia leptocaulis,Tracheophyta,,Nigel,"Remove Asia? I can't find any reference for AS native range, and there are no GBIF points in Asia!! https://www.gbif.org/species/7282605. NAm is correct (https://plants.usda.gov/core/profile?symbol=OPLE; http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:73874-2). ",Other Generic Databases,1,,,NAm,United States
Taiwan japalure,Diploderma swinhonis,Chordata,,Nigel,Correct (native to Taiwan; https://www.jstage.jst.go.jp/article/jvms/82/10/82_20-0283/_article),YES,1,,,AS,Taiwan
Dryocosmus kuriphilus,Dryocosmus kuriphilus,Arthropoda,,Nigel,"""Native range in China"" (CABI; https://www.researchgate.net/publication/327776051_The_Asian_chestnut_gall_wasp_Dryocosmus_kuriphilus_a_global_invader_and_a_successful_case_of_classical_biological_control)",YES,1,,,AS,China
Green spruce aphid,Elatobium abietinum,Arthropoda,,Nigel,Correct: EUR (CABI) + Western Asia (https://www.fs.fed.us/rm/pubs_journals/2014/rmrs_2014_lynch_a001.pdf),YES,1,,,EUR;AS,Austria;Finland;France;Germany;Italy;Latvia;Liechtenstein;Poland;Russia;Slovakia;Switzerland;Norway;Sweden
Nuttall's pondweed,Elodea nuttallii,Tracheophyta,,Nigel,Correct (CABI),Other Generic Databases,1,,,NAm,Canada;United States
Horseweed,Erigeron canadensis,Tracheophyta,,Nigel,Correct (https://www.cabi.org/isc/datasheet/15251),Other Generic Databases,1,,,NAm,Canada;United States
,Eucalyptus camaldulensis,Tracheophyta,,Nigel,Correct (CABI),Other Generic Databases,1,,,OC,Australia
,Flemingia strobilifera,Tracheophyta,,Nigel,Correct (CABI),Other Generic Databases,1,,,AS;OC,Bangladesh;Bhutan;Cambodia;China;India;Japan;Laos;Myanmar (Burma);Nepal;Pakistan;Sri Lanka;Taiwan;Thailand;Vietnam;Indonesia;Malaysia;Australia;Philippines;Papua New Guinea;Brunei;Singapore;Timor-Leste
western flower thrip,Frankliniella occidentalis,Arthropoda,,Nigel,Correct (CABI),Other Generic Databases,1,,,NAm,Canada;United States;Mexico
white freesia,Freesia alba,Tracheophyta,,Nigel,"Correct (http://pza.sanbi.org/freesia-leichtlinii-subsp-alba#:~:text=Freesia%20is%20endemic%20to%20southern,caryophyllacea%2C%20F.) NB the accepted name in GBIF is Freesia leichtlinii subsp. alba",YES,1,,,AF,
Cargol turc,Helix lucorum,Mollusca,,Nigel,Native to central/western Turkey - depends where we draw the line for Europe/Asia (http://www.molluscs.at/gastropoda/terrestrial/helix.html?/gastropoda/terrestrial/helix/lucorum.html) + Russia (http://mollusca.sav.sk/pdf/16/16.Egorov.pdf),YES,1,,,EUR,Turkey
Glassy-winged sharpshooter,Homalodisca vitripennis,Arthropoda,,Nigel,Correct (CABI),Other Generic Databases,1,,,NAm,United States;Mexico
Hydrilla,Hydrilla verticillata,Tracheophyta,,Nigel,"Unclear. Some disagreement between CABI, GISD and IUCN Red List",Other Generic Databases,1,,,EUR;AS;OC;AF,Afghanistan;Bhutan;China;India;Japan;Kazakhstan;Myanmar (Burma);North Korea;South Korea;Sri Lanka;Taiwan;Estonia;Italy;Russia;Indonesia;Malaysia;Australia;Congo - Kinshasa;R√©union;Zambia;Burundi;Madagascar;Rwanda
White top (hoary cress),Lepidium draba,Tracheophyta,,Nigel,Matches CABI but OC (Australia) is a strange addition. Need to sense-check all entries? e.g. this reference does not include Australia in native range: http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:286156-1 and this reference suggests species is introduced in Australia (https://weeds.dpi.nsw.gov.au/Weeds/HoaryCress),YES,1,,,EUR;AS;AF,Afghanistan;Iran;Iraq;Israel;Jordan;Lebanon;Syria;Turkey;Bulgaria;Spain;Egypt;Saudi Arabia;United Kingdom
Leaf miner,Liriomyza sativae,Arthropoda,,Nigel,Native to Americas (https://academic.oup.com/jinsectscience/article/17/4/88/3966737),YES,1,,,NAm; SA,
Water primrose,Ludwigia grandiflora,Tracheophyta,,Nigel,"Remove EUR. ""L. grandiflora is native to the Americas"" (CABI) - not listed as native to Europe in distribution table either.",Other Generic Databases,1,,,SA;NAm,Argentina;Bolivia;Brazil;Paraguay;Uruguay;United States;Guatemala;Colombia;Ecuador
Water primrose,Ludwigia peploides,Tracheophyta,,Nigel,Correct (CABI) - although some debate about Australia/Oceania,Other Generic Databases,1,,,OC;SA;NAm,Australia;Argentina;Bolivia;Brazil;Chile;Paraguay;Uruguay;United States;Mexico;New Zealand;Puerto Rico;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Colombia;Ecuador;Peru;Venezuela;Cuba;Dominican Republic;Haiti;Jamaica
Parrot's feather,Myriophyllum aquaticum,Tracheophyta,,Nigel,Remove EUR. Not listed as native to any European country in CABI or GISD.,NA,1,,,SA,Argentina;Bolivia;Brazil;Chile;Paraguay;Uruguay;Ecuador;Peru
brown planthopper,Nilaparvata lugens,Arthropoda,,Nigel,UNK,????,1,,,UNK,
Jointed cactus,Opuntia aurantiaca,Tracheophyta,,Nigel,Correct (CABI),Other Generic Databases,1,,,SA,Argentina;Paraguay;Uruguay
Torpedograss,Panicum repens,Tracheophyta,,Nigel,"Disagreement between CABI and GISD, particularly for Asia. Listed as native range in GISD but not in CABI distribution table.",Other Generic Databases,1,,,EUR;AS;AF,Algeria;Morocco;Tunisia;China;India;Iraq;Israel;Japan;Jordan;Lebanon;Nepal;Sri Lanka;Syria;Taiwan;Thailand;Turkey;Albania;Bosnia & Herzegovina;Croatia;France;Greece;Italy;Montenegro;North Macedonia;Portugal;Slovenia;Spain;Indonesia;Malaysia;Serbia;Egypt;Ethiopia;Kenya;Libya;Mali;Niger;Sudan;Saudi Arabia;Yemen;Tanzania;Cameroon;C√¥te d‚ÄôIvoire;Ghana;Guinea;Nigeria;Senegal;Uganda;Liberia;Mozambique;Namibia;South Africa;Zambia;Cyprus;Angola;Botswana;Malawi;Sierra Leone;Zimbabwe;Eswatini;Philippines;Madagascar;Central African Republic
Perca de riu,Perca fluviatilis,Chordata,,Nigel,Correct (CABI),Other Generic Databases,1,,,EUR;AS,Afghanistan;Armenia;Azerbaijan;Georgia;Iran;Kazakhstan;Mongolia;Turkey;Uzbekistan;Albania;Austria;Belgium;Bosnia & Herzegovina;Bulgaria;Croatia;Czechia;Estonia;Finland;France;Germany;Greece;Hungary;Latvia;Liechtenstein;Lithuania;Luxembourg;Moldova;Montenegro;Netherlands;Poland;Romania;Russia;Slovakia;Slovenia;Switzerland;Ukraine;Serbia;Denmark;Norway;Sweden;United Kingdom;Ireland
Pheasant,Phasianus colchicus,Chordata,,Nigel,Correct (CABI),Other Generic Databases,1,,,EUR;AS,Armenia;Azerbaijan;China;Georgia;North Korea;South Korea;Turkey;Russia
Mealybug,Phenacoccus solenopsis,Arthropoda,,Nigel,Remove EUR - not native range in CABI or according to https://doi.org/10.1371/journal.pone.0180913,YES,1,,,NAm,United States
Arbre de tinta,Phytolacca americana,Tracheophyta,,Nigel,Correct (https://plants.usda.gov/core/profile?symbol=pham4),Other Generic Databases,1,,,NAm,United States
Caragol poma,Pomacea maculata,Mollusca,,Nigel,"Remove EUR (not native range in CABI or GISD). Also remove NAm - although CABI table says this species is native in Mississipi, the references given by CABI clearly state that it was introduced in the 1990s. https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0056812 and CABI text just says native to SAm, not NAm.",YES,1,,,SA;NAm,Argentina;Brazil;Paraguay;Uruguay;United States
Guava,Psidium guajava,Tracheophyta,,Nigel,Unclear; SA and NAm seems like the most sensible native range (CABI). ,Other Generic Databases,1,,,SA;NAm,Argentina;Bolivia;Paraguay;Mexico;Belize;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Trinidad & Tobago;Colombia;Ecuador;French Guiana;Peru;Suriname;Venezuela;Grenada;Montserrat;St. Vincent & Grenadines;Anguilla;Antigua & Barbuda;Barbados;Dominica;Dominican Republic;Guadeloupe;Haiti;Jamaica;Martinique;St. Kitts & Nevis;St. Lucia
Fruit tree mealybug,Rastrococcus invadens,Arthropoda,,Nigel,"Change AF to Asia? ""Described  by  Williams  (1986),  the  mealybug  Rastrococcus invadens  originated   fromSouth-East  Asia.  Originally,  it  was  mistaken  for  R.  spinosus  (Robinson)  (Lohr,  1984),  aclosely   related   species   of   similar   origin   which   causes   severe   damage   to   fruit   trees,particularly  mango  (Mahmood  et al.,  1980; Butani,  1975).  R.  invadens was  introduced  bychance,  probably  on  plant  material,  into  Ghana  and  Togo  in  1981-82."" https://www.researchgate.net/publication/232018573_Rastrococcus_invadens_Williams_Hemiptera_Pseudococcidae_a_serious_exotic_pest_of_fruit_trees_and_other_plants_in_West_Africa. See also doi:10.1017/S0007485300015558.",YES,1,,,AS,
Cane toad,Rhinella marina,Chordata,,Nigel,Correct (CABI),Other Generic Databases,1,,,SA;NAm,Argentina;Bolivia;Brazil;Paraguay;United States;Mexico;Belize;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Trinidad & Tobago;Colombia;Ecuador;French Guiana;Guyana;Peru;Suriname;Venezuela
,Ricinus communis,Tracheophyta,,Nigel,Disagreement between CABI and GISD. CABI = native to AF only. GISD includes EUR and AS. Native range is only Africa according to GBIF https://www.gbif.org/species/152546429 + https://bmcplantbiol.biomedcentral.com/articles/10.1186/1471-2229-10-13 + https://www.researchgate.net/profile/Neha_Goyal9/publication/264631834_Can_adaptive_modulation_of_traits_to_urban_environments_facilitate_Ricinus_communis_L_invasiveness/links/54b11ad30cf220c63ccf8e0b.pdf,YES,1,,,EUR;AS;AF,Algeria;Morocco;Afghanistan;Iran;Israel;Jordan;Pakistan;Syria;Turkey;Hungary;Egypt;Ethiopia;Kenya;Somalia;Benin;Nigeria;South Africa;Angola;Botswana;Eswatini;Lesotho
,Rubus adenotrichos,Tracheophyta,,Nigel,"Correct (http://www.hear.org/pier/species/rubus_adenotrichos.htm#:~:text=Native%20range%3A%20Mexico%2C%20Costa%20Rica,Honduras%2C%20Venezuela%20(GRIN).)",YES,1,,,SA;NAm,Mexico;Costa Rica;El Salvador;Guatemala;Nicaragua;Colombia;Ecuador;Venezuela
Eurasian squirrel,"Add Europe? ""The native range of T. sibiricus covers a vast territory from the northern parts of European Russia to the shore of the Sea of Okhotsk and from northern Yakutia to central China""  https://www.cabi.org/isc/datasheet/62788#todistribution",Chordata,,Nigel,Correct,NA,1,,,EUR;AS,
,Spartium junceum,Tracheophyta,,Nigel,Correct (CABI),Other Generic Databases,1,,,EUR;AS;AF,Algeria;Morocco;Tunisia;Azerbaijan;Israel;Lebanon;Syria;Turkey;Albania;France;Greece;Italy;Portugal;Spain;Libya;Malta
Tamarisks,Tamarix spp.,Tracheophyta,,Nigel,Emma added AF,NA,1,,,EUR;AS; AF,Afghanistan;Armenia;Azerbaijan;China;Georgia;Iran;Iraq;Kazakhstan;Kyrgyzstan;Mongolia;Pakistan;South Korea;Tajikistan;Turkey;Turkmenistan;Uzbekistan;Moldova;Russia;Ukraine
Siberian chipmunk,Tamias sibiricus,Chordata,,Nigel,"Add Europe? ""The native range of T. sibiricus covers a vast territory from the northern parts of European Russia to the shore of the Sea of Okhotsk and from northern Yakutia to central China"" https://www.cabi.org/isc/datasheet/62788#todistribution",Other Generic Databases,1,,,AS; EUR,China;Japan;Kazakhstan;Mongolia;North Korea;South Korea;Russia
Pine processary moth,Thaumetopoea processionea,Arthropoda,,Nigel,"Should be Europe, not Asia? ""Thaumetopoea processionea is often considered as native in warm and sunny sites in central and southern Europe, where it is widely distributed and relatively abundant"" https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1461-9563.2011.00552.x + ""native to central and southern Europe"" http://www.fao.org/forestry/13576-065c0315ac23ffbd650178e557481d049.pdf.  But there must be a reference for Asian native range, as Asia was manually assigned by us...",Other Generic Databases,1,,,EU,
Khapra beetle,Trogoderma granarium,Arthropoda,,Nigel,Correct (CABI),Other Generic Databases,1,,,AS,India
,Vachellia farnesiana,Tracheophyta,,Nigel,Add SAm (CABI) - indeed many SAm countries are already included in our database,Other Generic Databases,1,,,NAm; SA,Argentina;Bolivia;Brazil;Paraguay;Uruguay;United States;Mexico;Puerto Rico;Belize;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Trinidad & Tobago;Colombia;Ecuador;French Guiana;Guyana;Peru;Suriname;Venezuela;Antigua & Barbuda;Barbados;Cuba;Dominican Republic;Haiti;Jamaica;Bahamas;Cayman Islands;Turks & Caicos Islands
Yellow fever mosquito,Aedes aegypti,Arthropoda,1,Ross,Correct,NA,1,,,AF,
Common ragweed,Ambrosia artemisiifolia,Tracheophyta,1,Ross,"NA only? ""Ambrosia artemisiifolia is a monoecious, wind-pollinated, annual herb native to North America; Ambrosia artemisiifolia was introduced into Europe with seed imports from North America in the 19th",NA,1,,,NAm,Canada;United States;Mexico
Boll weevil,Anthonomus grandis,Arthropoda,1,Ross,"Only NA/CA? ""began a rapid northward expansion out of its native range in southern Mexico"" (10.1098/rsif.2009.0345)",YES,1,,,NAm,Mexico
Soybean aphids,Aphis glycines,Arthropoda,1,Ross,Correct,NA,1,,,AS,
Africanized honeybee,Apis mellifera,Arthropoda,,Ross,"Also AS and EUR? ""Indeed, the western honey bee Apis mellifera L. is also a component of biodiversity in its native range (Africa, Europe, Western, and Central Asia)"" (10.3389/fevo.2019.00060; but also see (10.1002/ece3.312) )",YES,1,,,EUR;AS;AF,Ethiopia;Kenya;Tanzania;Uganda;South Africa;Botswana;Zimbabwe
Dog,Canis lupus,Chordata,1,Ross,Should we remove domesticated species? See e.g. 10.1371/journal.pone.0003333 -- native area seems not clear due to hybridisation.,YES,1,,1,OC,Australia
New World Screwworm,Cochliomyia hominivorax,Arthropoda,1,Ross,"Plus NA and not AS? ""The native distribution of NWS included tropical and subtropical South America, the Caribbean, Central America, and the southwestern United States, and human-mediated movement of livestock led to establishment in the southeast United States in the early 20th century"" (10.1093/jme/tjy078)",YES,1,,,SA;NAm,
Pigeon biset,Columba livia,Chordata,1,Ross,"Only EUR? ""The undomesticated relative is the rock pigeon Columba livia, whose native range is restricted to Western and Southern Europe"" (10.1007/s00436-019-06558-6) But,some debate: ""Rock pigeons are native to Europe, North Africa, the Middle East, and South Asia"" (10.1016/j.cub.2013.01.063) -- in which case, remove OC.",YES,1,,,EUR,Albania;Andorra;Belarus;Belgium;Bosnia & Herzegovina;Bulgaria;Croatia;Estonia;Finland;France;Germany;Greece;Italy;Latvia;Lithuania;Luxembourg;Moldova;Monaco;Montenegro;North Macedonia;Poland;Romania;San Marino;Slovakia;Slovenia;Spain;Ukraine;Serbia;Denmark;Norway;Sweden;United Kingdom;Ireland;Isle of Man;Cyprus
Formosan termite,Coptotermes formosanus,Arthropoda,1,Ross,Correct,NA,1,,,AS,China;Macao SAR China;Hong Kong SAR China
Zebra mussel,Dreissena polymorpha,Mollusca,1,Ross,Correct,NA,1,,,EUR;AS,Turkey;Romania;Russia;Ukraine
Leafy spurge,Euphorbia esula,Tracheophyta,1,Ross,Correct,NA,1,,,EUR;AS,Afghanistan;China;Turkey;Albania;Austria;Belarus;Belgium;Bosnia & Herzegovina;Bulgaria;Croatia;Estonia;France;Germany;Greece;Hungary;Italy;Latvia;Lithuania;Moldova;Montenegro;Netherlands;North Macedonia;Poland;Portugal;Romania;Russia;Slovenia;Spain;Ukraine;Serbia;United Kingdom
Feral Cat,Felis catus,Chordata,1,Ross,"Remove, and same for other domestic taxa? ""Similar to other domesticated species, cats have no native range and they are now among the most popular pets worldwide"" (https://doi.org/10.1002/fee.1633).",YES,1,,1,AS;AF,
Scleroderris canker,Gremmeniella abietina,Ascomycota,1,Ross,"Correct, Plant fungal pathogen",NA,1,,,EUR,
Gypsy Moth,Lymantria dispar,Arthropoda,1,Ross,Correct,NA,1,,,EUR;AS;AF,Algeria;Morocco;Tunisia;Afghanistan;Azerbaijan;China;Georgia;Iran;Japan;Kazakhstan;Kyrgyzstan;North Korea;South Korea;Taiwan;Turkey;Turkmenistan;Uzbekistan;Albania;Austria;Bulgaria;Croatia;Czechia;Germany;Greece;Hungary;Italy;Poland;Portugal;Romania;Russia;Slovakia;Slovenia;Spain;Ukraine;Libya
,Miconia calvescens,Tracheophyta,,Ross,Correct,NA,1,,,SA;NAm,Argentina;Bolivia;Brazil;Paraguay;Mexico;Belize;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Colombia;Ecuador;Peru
Perca americana,Micropterus salmoides,Chordata,,Ross,Correct,NA,1,,,NAm,Canada;United States;Mexico
White Mulberry,Morus alba,Tracheophyta,,Ross,Correct,NA,1,,,AS,China
Chilean needle grass,Nassella neesiana,Tracheophyta,,Ross,Correct,NA,1,,,SA,Argentina;Bolivia;Brazil;Chile;Uruguay;Ecuador
Conehead termites,Nasutitermes corniger,Arthropoda,,Ross,"SA;NAm?  ""Nasutitermes corniger (Motschulsky), common name conehead termite, were discovered near a marina in Dania Beach, FL, where the invasive species was probably transported from its native range in Central and South America or the Caribbean."" (10.1093/jee/toz227)",YES,1,,,SA; NAm,
American mink,Neovison vison,Chordata,,Ross,Correct,NA,1,,,NAm,Canada;United States
Oleander,Nerium oleander,Tracheophyta,,Ross,"AS;EUR;AF? ""The native range of the species is usually considered to embrace the entire Mediterranean basin, spanning from Spain and Morocco to the Arabian Peninsula, including also Ethiopia and Niger in Africa and Afghanistan, Iran, Iraq, India and central China in Asia (IUCN – www.iucn.org/)."" (10.1080/00087114.2017.1410634) ",YES,1,,,AS;EUR;AF,Algeria;Morocco;Tunisia;Afghanistan;India;Iran;Iraq;Israel;Lebanon;Myanmar (Burma);Nepal;Pakistan;Turkey;Albania;Andorra;Bosnia & Herzegovina;France;Greece;Italy;Portugal;Spain;Libya;Niger;Bahrain;Oman;Cyprus;Malta
mustard tree,Nicotiana glauca,Tracheophyta,,Ross,Correct,NA,1,,,SA,Argentina;Bolivia;Brazil;Chile;Paraguay;Uruguay;Ecuador;Peru
Enotera,Oenothera glazioviana,Tracheophyta,,Ross,"NAm? ""Both species are native to North America and are common aliens in other European countries, but have not been reported so far from Bulgaria"" (Phytologia Balcanica 21:21-27; Preliminary list of plant invaders in Montenegro)",YES,1,,,NAm,
Rusty crayfish,Orconectes rusticus,Arthropoda,,Ross,Correct,NA,1,,,NAm,United States
European (common) rabbit,Oryctolagus cuniculus,Chordata,1,Ross,"EUR? ""Pleistocene fossil records indicate that the rabbit was widely distributed across Europe prior to the final glaciations of the last ice age (Corbet, 1986), after which its range contracted to refugia on the Iberian Peninsula (Gibb, 1990; Flux, 1994; Thompson, 1994)."" (10.1111/j.1365-2907.2008.00116.x)""",YES,1,,,EUR,
papaya mealybug,Paracoccus marginatus,Arthropoda,,Ross,Correct,NA,1,,,NAm,Mexico;Belize;Costa Rica;Guatemala
"Pink
bollworm",Pectinophora gossypiella,Arthropoda,,Ross,"AS? "" The pink bollworm, Pectinophora gossypiella (Saunders) (Lepidoptera: Gelechiidae), a native of Indo–Pakistan region"" (10.1016/j.cropro.2019.104984)",YES,1,,,AS,
Bigheaded ant,Pheidole megacephala,Arthropoda,,Ross,"AF? ""The native range of P. megacephala has not yet been determined although it is suspected to be from Africa (Ethiopian region) or Madagascar due to the richness of the megacephala species complex from these regions (Wheeler, 1922; Wetterer, 2007, 2012; Fischer, Garcia & Peters, 2012; Fournier et al., 2012; Fischer & Fisher, 2013)."" (Biological Journal of the Linnean Society, 2014, 113, 423–438)",YES,1,,,AF,Eritrea;Ethiopia;Kenya;Sudan;Tanzania;Cameroon;Ghana;Guinea;Nigeria;Senegal;Congo - Kinshasa;Gabon;Mozambique;South Africa;Angola;Congo - Brazzaville;Sierra Leone;Zimbabwe
Mouseear hawkweed,Pilosella officinarum,Tracheophyta,,Ross,Correct,NA,1,,,EUR;AS,Armenia;Azerbaijan;Georgia;Turkey;Albania;Austria;Belarus;Belgium;Bosnia & Herzegovina;Bulgaria;Croatia;Czechia;Estonia;Finland;France;Germany;Greece;Hungary;Italy;Latvia;Liechtenstein;Lithuania;Luxembourg;Moldova;Montenegro;Netherlands;North Macedonia;Poland;Portugal;Romania;Russia;Slovakia;Slovenia;Spain;Switzerland;Ukraine;Serbia;Denmark;Norway;Sweden;United Kingdom;Ireland
